Year,Fuel,Flow_type,Primary_group,Subgroup,Category,Aggregate_type,Unit,Energy,Row
2023,Heat sold,Rail,Demand,Final consumption,Transport,value,ktoe,0.0,52
2023,Heat sold,Road,Demand,Final consumption,Transport,value,ktoe,0.0,53
2023,Heat sold,National navigation,Demand,Final consumption,Transport,value,ktoe,0.0,54
2023,Heat sold,Pipelines,Demand,Final consumption,Transport,value,ktoe,0.0,55
2023,Heat sold,Other,Demand,Final consumption,Other final users,sum,ktoe,600.6,56
2023,Heat sold,Domestic,Demand,Final consumption,Other final users,value,ktoe,270.95,57
2023,Heat sold,Public administration,Demand,Final consumption,Other final users,value,ktoe,81.64,58
2023,Heat sold,Commercial,Demand,Final consumption,Other final users,value,ktoe,242.02,59
2023,Heat sold,Agriculture,Demand,Final consumption,Other final users,value,ktoe,2.94,60
2023,Heat sold,Miscellaneous,Demand,Final consumption,Other final users,value,ktoe,3.06,61
2023,Heat sold,Non energy use,Demand,Final consumption,,value,ktoe,0.0,62
2023,Manufactured fuel,Production,Supply,,,value,ktoe,0.0,5
2023,Manufactured fuel,Imports,Supply,,,value,ktoe,1165.43,6
2023,Manufactured fuel,Exports,Supply,,,value,ktoe,-4.68,7
2023,Manufactured fuel,Marine bunkers,Supply,,,value,ktoe,0.0,8
2023,Manufactured fuel,Stock change,Supply,,,value,ktoe,312.3,9
2023,Manufactured fuel,Total supply,Supply,,,sum,ktoe,1473.05,10
2023,Manufactured fuel,Statistical difference,Statistical difference,,,value,ktoe,-2.83,11
2023,Manufactured fuel,Total demand,Demand,,,sum,ktoe,1475.88,12
2023,Manufactured fuel,Transfers,Demand,,,value,ktoe,12.58,13
2023,Manufactured fuel,Transformation,Demand,Transformation,,sum,ktoe,-686.24,14
2023,Manufactured fuel,Electricity generation,Demand,Transformation,Electricity generation,sum,ktoe,-368.81,15
2023,Manufactured fuel,Major power producers,Demand,Transformation,Electricity generation,value,ktoe,0.0,16
2023,Manufactured fuel,Autogenerators,Demand,Transformation,Electricity generation,value,ktoe,-368.81,17
2023,Manufactured fuel,Heat generation,Demand,Transformation,,value,ktoe,-1.16,18
2023,Manufactured fuel,Petroleum refineries,Demand,Transformation,,value,ktoe,0.0,19
2023,Manufactured fuel,Coke manufacture,Demand,Transformation,,value,ktoe,556.72,20
2023,Manufactured fuel,Blast furnaces,Demand,Transformation,,value,ktoe,-1002.26,21
2023,Manufactured fuel,Patent fuel manufacture,Demand,Transformation,,value,ktoe,129.26,22
2023,Manufactured fuel,Other,Demand,Transformation,,value,ktoe,0.0,23
2023,Manufactured fuel,Energy industry use,Demand,Energy industry use,,sum,ktoe,292.58,24
2023,Manufactured fuel,Electricity generation,Demand,Energy industry use,,value,ktoe,0.0,25
2023,Manufactured fuel,Oil and gas extraction,Demand,Energy industry use,,value,ktoe,0.0,26
2023,Manufactured fuel,Petroleum refineries,Demand,Energy industry use,,value,ktoe,0.0,27
2023,Manufactured fuel,Coal extraction,Demand,Energy industry use,,value,ktoe,0.0,28
2023,Manufactured fuel,Coke manufacture,Demand,Energy industry use,,value,ktoe,94.5,29
2023,Manufactured fuel,Blast furnaces,Demand,Energy industry use,,value,ktoe,198.07,30
2023,Manufactured fuel,Patent fuel manufacture,Demand,Energy industry use,,value,ktoe,0.0,31
2023,Manufactured fuel,Pumped storage,Demand,Energy industry use,,value,ktoe,0.0,32
2023,Manufactured fuel,Other,Demand,Energy industry use,,value,ktoe,0.0,33
2023,Manufactured fuel,Losses,Demand,,,value,ktoe,62.06,34
2023,Manufactured fuel,Final consumption,Demand,Final consumption,,sum,ktoe,447.59,35
2023,Manufactured fuel,Industry,Demand,Final consumption,Industry,sum,ktoe,294.09,36
2023,Manufactured fuel,Unclassified,Demand,Final consumption,Industry,value,ktoe,0.0,37
2023,Manufactured fuel,Iron and steel,Demand,Final consumption,Industry,value,ktoe,294.09,38
2023,Manufactured fuel,Non-ferrous metals,Demand,Final consumption,Industry,value,ktoe,0.0,39
2023,Manufactured fuel,Mineral products,Demand,Final consumption,Industry,value,ktoe,0.0,40
2023,Manufactured fuel,Chemicals,Demand,Final consumption,Industry,value,ktoe,0.0,41
2023,Manufactured fuel,Mechanical engineering etc,Demand,Final consumption,Industry,value,ktoe,0.0,42
2023,Manufactured fuel,Electrical engineering etc,Demand,Final consumption,Industry,value,ktoe,0.0,43
2023,Manufactured fuel,Vehicles,Demand,Final consumption,Industry,value,ktoe,0.0,44
2023,Manufactured fuel,"Food, beverages etc",Demand,Final consumption,Industry,value,ktoe,0.0,45
